id,playtime,food_consumption
1,Fifteen_mins,14.34387739
1,Thirty_mins,17.74387739
1,FortyFive_mins,19
1,Sixty_mins,22
2,Fifteen_mins,14.20925205
2,Thirty_mins,15.60925205
2,FortyFive_mins,17.10925205
2,Sixty_mins,19
3,Fifteen_mins,10.1037137
3,Thirty_mins,13
3,FortyFive_mins,12
3,Sixty_mins,14
4,Fifteen_mins,12.262359
4,Thirty_mins,14.762359
4,FortyFive_mins,15
4,Sixty_mins,14
5,Fifteen_mins,17.57489126
5,Thirty_mins,19.37489126
5,FortyFive_mins,22
5,Sixty_mins,23
6,Fifteen_mins,15.30899803
6,Thirty_mins,15
6,FortyFive_mins,16
6,Sixty_mins,17
7,Fifteen_mins,15.50900953
7,Thirty_mins,17.90900953
7,FortyFive_mins,18.40900953
7,Sixty_mins,19
8,Fifteen_mins,11.92569898
8,Thirty_mins,14.32569898
8,FortyFive_mins,16
8,Sixty_mins,16
9,Fifteen_mins,16.20269996
9,Thirty_mins,18.60269996
9,FortyFive_mins,21
9,Sixty_mins,17
10,Fifteen_mins,16.19972403
10,Thirty_mins,18.59972403
10,FortyFive_mins,18
10,Sixty_mins,16
11,Fifteen_mins,12.57163622
11,Thirty_mins,14.97163622
11,FortyFive_mins,17
11,Sixty_mins,18
